year,area,co2,temp
1986.0,71948.36,11.74228,-2.8
1988.0,71998.671,14.216778,-2.7
1990.0,71960.29499999998,15.49328,-3.7
1992.0,71902.66900000001,18.458245,-3.9
1994.0,71902.299,17.701824,-3.2
1996.0,71912.824,22.096188,-3.8
1998.0,71891.45300000001,21.283593,-2.0
2000.0,71878.281,20.229907,-2.0
2002.0,71859.035,20.739839,-1.1
2004.0,71851.154,19.854224,-1.5
2006.0,71835.378,18.186478,-3.1
2008.0,71828.73999999999,16.188744,-3.8
2010.0,71789.17,15.908177,-2.6
2012.0,71792.60399999999,16.537205,-4.3
2014.0,71776.662,16.14934,-0.9
2016.0,71750.553,16.040915,-0.1
2018.0,71718.438,16.501765,-0.9
2020.0,71603.079,17.59019,-2.5

